iter	PRAUC	Logloss
0	0.8643916617	0.6470490862
1	0.8179212136	0.6098107017
2	0.8179297907	0.5777872486
3	0.8200246463	0.5521454706
4	0.820942806	0.5318247006
5	0.8211066113	0.5158361935
6	0.8353666524	0.4985305979
7	0.835643931	0.4874821207
8	0.8359708988	0.4728244042
9	0.8360666348	0.4640951731
10	0.8385100637	0.4539451643
11	0.8385721252	0.4451227936
12	0.8376489029	0.4421641051
13	0.8376054612	0.435810777
14	0.8372738897	0.4341040078
15	0.8373192176	0.4282501799
16	0.8384962569	0.4249893206
17	0.8407505389	0.422705781
18	0.8440933949	0.4211812633
19	0.8439316085	0.4200873923
20	0.8441471098	0.4190609278
21	0.844577032	0.4181347099
22	0.8470835594	0.4134335837
23	0.8480800218	0.4125981658
24	0.8504636595	0.4097610225
25	0.8509930726	0.4084495435
26	0.8508534997	0.4037866727
27	0.8510963718	0.403196189
28	0.8512193525	0.4026879526
29	0.8566197394	0.3995229409
30	0.857742548	0.3969426081
31	0.8588693035	0.392829456
32	0.8589130359	0.3923825021
33	0.859083619	0.392129825
34	0.8591054235	0.391658035
35	0.8591054235	0.391591356
36	0.8603724383	0.3907244345
37	0.8627488769	0.3904193853
38	0.8627399436	0.3900438385
39	0.8656780842	0.387787078
40	0.8660479006	0.3873919176
41	0.8661023965	0.3871318047
42	0.8661158876	0.3869017268
43	0.8661117516	0.3866947081
44	0.8662123093	0.3864895178
45	0.8662530666	0.3862970759
46	0.8667521086	0.3857769805
47	0.8670931459	0.3838763725
48	0.8675039495	0.3820472229
49	0.868288181	0.3807653045
50	0.8699785856	0.3800628542
51	0.8699671134	0.3799404714
52	0.870059736	0.3784129041
53	0.8701749838	0.3783172219
54	0.8708259872	0.3778773315
55	0.8709527126	0.377416098
56	0.8710142062	0.3771150098
57	0.8710556208	0.3769430701
58	0.8713024349	0.3765925081
59	0.8713577604	0.3765694699
60	0.8733213366	0.3737424376
61	0.8733872437	0.3735681586
62	0.8733872437	0.3735552733
63	0.8734519741	0.3734409216
64	0.873885643	0.3732445324
65	0.8742280355	0.3731030149
66	0.8743432058	0.3730081029
67	0.8742606382	0.3727485225
68	0.8745748617	0.3726181088
69	0.8746481899	0.3725750873
70	0.8747939044	0.3722363162
71	0.8751173312	0.3718152134
72	0.8752004373	0.3704442448
73	0.8752174635	0.3695529961
74	0.8753805394	0.3694526341
75	0.8758108374	0.3691003155
76	0.8758090182	0.3681109836
77	0.8761271707	0.3675673559
78	0.876217773	0.3674840094
79	0.8765519277	0.366046354
80	0.8766714813	0.3657413624
81	0.8768699715	0.3656779791
82	0.877041176	0.3645290796
83	0.8770527366	0.3644979479
84	0.8770391555	0.3643569219
85	0.8771628043	0.364248941
86	0.8775057346	0.3641178853
87	0.8775870178	0.3640882609
88	0.8776673706	0.3637979296
89	0.8777677854	0.3635623859
90	0.8779652408	0.3634868252
91	0.8784931184	0.3629570068
92	0.8785897607	0.3627262649
93	0.8787268255	0.3624654121
94	0.8788892065	0.3623454891
95	0.8788892065	0.3623435315
96	0.8791911178	0.3622387864
97	0.8793152413	0.3621491966
98	0.8793630496	0.3620850447
99	0.8795709739	0.3619073459
100	0.8797087322	0.3618568268
101	0.8796354537	0.3617419615
102	0.87967134	0.3617014073
103	0.8797795248	0.3606170507
104	0.8799392615	0.3605693591
105	0.8800692869	0.3605094476
106	0.8802391628	0.3603745586
107	0.8804992951	0.3602843179
108	0.8805803774	0.3602605792
109	0.8806697765	0.3602096184
110	0.8807533864	0.360187253
111	0.8814016168	0.3600101192
112	0.881594064	0.3599065206
113	0.8816471978	0.3598383885
114	0.8817321578	0.3597944282
115	0.8817522048	0.359782105
116	0.8816799118	0.3596762634
117	0.8818936179	0.3595352236
118	0.8819186003	0.3593667273
119	0.8819051091	0.359322299
120	0.8819253258	0.3593018217
121	0.8819422666	0.3592994818
122	0.8820648582	0.3592325075
123	0.882123824	0.3591941284
124	0.882326659	0.3591210717
125	0.882430862	0.3590708301
126	0.8825423506	0.3589538748
127	0.8826494514	0.3587927595
128	0.8829312641	0.3586718376
129	0.8831106826	0.3585658713
130	0.8832419191	0.3585174672
131	0.8834735618	0.3584253437
132	0.8835711724	0.3583927649
133	0.8836864563	0.3583169843
134	0.8838287254	0.3582349757
135	0.8839711672	0.3581900766
136	0.8839739326	0.3581894988
137	0.8841924253	0.3581208607
