iter	Passed	Remaining
0	359	179350
1	882	219618
2	1419	235169
3	1929	239205
4	2438	241431
5	2963	244020
6	3405	239838
7	3800	233734
8	4255	232170
9	4740	232261
10	5229	232471
11	5708	232162
12	6209	232621
13	6728	233586
14	7220	233473
15	7720	233543
16	8188	232654
17	8710	233240
18	9272	234739
19	9783	234800
20	10313	235251
21	10856	235879
22	11353	235462
23	11857	235182
24	12370	235039
25	12845	234185
26	13248	232090
27	13740	231620
28	14200	230633
29	14694	230208
30	15105	228525
31	15600	228151
32	15939	225564
33	16398	224762
34	16845	223802
35	16945	218412
36	17476	218694
37	18003	218885
38	18591	219759
39	19306	222028
40	19986	223748
41	20468	223202
42	20771	220757
43	21187	219574
44	21737	219793
45	22470	221777
46	23119	222833
47	23652	222726
48	24406	224642
49	25069	225629
50	25738	226600
51	26252	226175
52	26982	227569
53	27603	227985
54	28224	228363
55	28766	228080
56	29444	228840
57	30143	229714
58	30779	230064
59	31263	229264
60	31914	229681
61	32607	230353
62	32748	227162
63	33377	227381
64	34168	228665
65	35310	232193
66	36019	232785
67	37030	235255
68	37736	235716
69	38165	234444
70	39245	237132
71	40118	238482
72	40694	238034
73	41284	237666
74	41885	237351
75	42536	237311
76	43071	236613
77	43653	236177
78	44262	235878
79	44992	236208
80	45686	236327
81	46429	236675
82	47085	236562
83	47775	236600
84	48261	235630
85	49064	236192
86	49648	235685
87	50311	235547
88	50962	235342
89	51588	235014
90	52314	235125
91	52961	234870
92	53676	234908
93	54347	234735
94	55326	235866
95	55530	233692
96	56173	233380
97	56794	232974
98	57408	232535
99	58051	232205
100	58650	231697
101	59329	231499
102	59759	230333
103	60398	229979
104	60969	229362
105	61685	229283
106	62301	228827
107	62960	228522
108	63760	228720
109	64489	228645
110	64849	227265
111	65611	227295
112	66339	227199
113	66997	226850
114	67656	226503
115	68032	225209
116	68643	224706
117	69400	224669
118	70058	224304
119	70298	222610
120	70564	221024
121	70795	219350
122	71577	219388
123	72324	219307
124	73048	219145
125	73699	218758
126	74318	218273
127	75025	218042
128	75724	217782
129	76408	217470
130	76931	216700
131	77665	216521
132	78426	216409
133	79157	216207
134	79869	215944
135	80628	215800
136	81039	214724
137	81807	214595
138	82407	214023
139	83222	214001
140	84001	213877
141	84233	212362
142	84652	211336
143	85393	211112
144	86042	210655
145	86711	210245
146	87540	210216
147	88255	209905
148	88865	209340
149	89557	208967
150	90198	208471
151	90970	208275
152	91709	207994
153	92315	207410
154	92818	206595
155	93567	206328
156	94319	206060
157	95101	205853
158	95329	204448
159	96027	204057
160	96812	203846
161	97555	203540
162	98141	202906
163	98905	202635
164	99442	201898
165	100167	201541
166	100862	201120
167	101695	200968
168	102393	200545
169	103086	200109
170	103721	199557
171	104356	199005
172	105061	198584
173	105868	198351
174	106559	197895
175	107388	197692
176	108098	197263
177	108747	196723
178	109515	196394
179	110169	195856
180	110845	195358
181	111542	194892
182	111902	193841
183	112522	193245
184	112949	192319
185	113611	191796
186	114302	191318
187	114941	190753
188	115568	190167
189	116274	189710
190	116943	189191
191	117666	188756
192	118334	188231
193	119045	187772
194	119838	187439
195	120602	187056
196	121251	186493
197	121962	186023
198	122713	185611
199	123081	184621
200	123842	184223
201	124550	183743
202	124817	182615
203	125596	182237
204	126378	181861
